Experiment	Date	DAS	N_Treatments	Water_Treatments	Rep	Lamina_N_con	Petiole_N_con	Dead_leaf_N_con	Bulb_N_con	Lamina_DM	Petiole_DM	Bulb_DM	Dead_DM
A	17/01/12	79	0	Yes	1	4.29	2.55	NA	1.98	2.24	0.43	0.85	NA
A	17/01/12	79	0	Yes	2	3.83	2.32	NA	1.87	1.32	0.49	0.84	NA
A	17/01/12	79	0	Yes	3	3.95	2.15	NA	1.67	1.48	0.70	0.73	NA
A	17/01/12	79	0	Yes	4	4.20	2.96	2.04	1.79	0.64	0.28	0.33	0.03
A	17/01/12	79	25	Yes	1	4.19	2.80	NA	2.12	1.66	0.76	1.49	NA
A	17/01/12	79	25	Yes	2	4.31	3.31	NA	2.34	1.07	0.30	0.49	NA
A	17/01/12	79	25	Yes	3	4.36	3.43	2.24	2.42	1.34	0.53	0.72	0.07
A	17/01/12	79	25	Yes	4	4.42	3.17	NA	2.03	1.88	0.92	1.91	NA
A	17/01/12	79	50	Yes	1	4.24	3.10	NA	2.03	0.90	0.41	0.51	NA
A	17/01/12	79	50	Yes	2	4.24	2.79	NA	1.92	1.52	0.75	1.04	NA
A	17/01/12	79	50	Yes	3	7.62	3.22	NA	2.24	0.51	0.19	0.20	NA
A	17/01/12	79	50	Yes	4	4.43	3.48	NA	2.37	0.98	0.40	0.35	NA
A	17/01/12	79	100	Yes	1	5.01	3.47	1.67	2.27	1.18	0.58	1.61	0.09
A	17/01/12	79	100	Yes	2	4.55	3.43	NA	2.34	2.23	1.00	1.86	NA
A	17/01/12	79	100	Yes	3	4.52	3.45	NA	2.25	0.63	0.27	0.43	NA
A	17/01/12	79	100	Yes	4	4.52	3.66	NA	2.49	0.90	0.35	0.61	NA
A	17/01/12	79	200	Yes	1	5.00	3.70	NA	2.40	1.73	0.91	1.98	NA
A	17/01/12	79	200	Yes	2	4.68	2.57	NA	2.14	1.41	0.67	1.19	NA
A	17/01/12	79	200	Yes	3	4.78	2.74	NA	2.45	0.77	0.32	0.45	NA
A	17/01/12	79	200	Yes	4	4.65	3.91	NA	2.67	0.80	0.30	0.28	NA
A	20/02/12	113	0	Yes	1	2.63	1.10	0.69	0.77	1.86	1.15	6.49	0.24
A	20/02/12	113	0	Yes	2	2.94	1.02	1.08	0.73	1.68	2.33	9.82	0.16
A	20/02/12	113	0	Yes	3	2.62	1.10	0.86	0.90	2.05	1.42	8.21	0.16
A	20/02/12	113	0	Yes	4	2.89	1.03	0.65	0.90	1.11	0.68	2.65	0.11
A	20/02/12	113	25	Yes	1	2.92	1.11	0.78	0.86	1.38	0.76	8.46	0.19
A	20/02/12	113	25	Yes	2	2.93	1.07	1.06	0.95	1.52	1.20	7.29	0.06
A	20/02/12	113	25	Yes	3	3.46	1.30	1.15	1.19	1.94	1.49	8.65	0.20
A	20/02/12	113	25	Yes	4	2.66	1.26	1.38	1.00	2.78	2.23	11.00	0.14
A	20/02/12	113	50	Yes	1	3.14	1.04	0.99	0.84	1.71	1.05	7.77	0.14
A	20/02/12	113	50	Yes	2	3.40	1.03	0.94	0.87	2.34	1.57	11.93	0.15
A	20/02/12	113	50	Yes	3	2.93	1.13	1.11	0.95	1.48	1.43	6.70	0.08
A	20/02/12	113	50	Yes	4	3.30	1.45	1.02	1.09	2.27	1.77	9.95	0.14
A	20/02/12	113	100	Yes	1	3.06	1.15	1.44	1.04	2.59	1.90	8.98	0.34
A	20/02/12	113	100	Yes	2	3.10	1.16	0.97	0.96	2.14	1.44	10.10	0.09
A	20/02/12	113	100	Yes	3	3.33	1.34	1.30	1.04	2.75	2.31	9.81	0.14
A	20/02/12	113	100	Yes	4	3.83	1.56	1.39	1.37	2.77	2.72	9.82	0.29
A	20/02/12	113	200	Yes	1	4.01	1.73	1.67	1.35	3.04	2.36	19.19	0.29
A	20/02/12	113	200	Yes	2	3.79	1.82	1.62	1.57	2.39	2.50	8.47	0.15
A	20/02/12	113	200	Yes	3	3.43	1.92	1.28	1.43	3.28	2.53	8.46	0.21
A	20/02/12	113	200	Yes	4	3.64	1.74	1.50	1.26	2.75	3.05	12.37	0.14
A	26/03/12	148	0	Yes	1	2.97	1.23	0.79	0.66	1.23	1.04	13.46	0.77
A	26/03/12	148	0	Yes	2	2.55	1.08	0.71	0.62	1.58	1.74	18.54	0.37
A	26/03/12	148	0	Yes	3	2.70	1.01	0.74	0.78	1.54	1.30	13.79	0.54
